Order Date,Customer Number,Package Tracking ID,Order Line,SKU,Unit,Sale Amount
1/1/2019,C_11-01,P_WNI-6550,1,SKU-0105-920,3,45
1/1/2019,C_11-01,P_WNI-6550,2,SKU-0172-812,6,120
1/1/2019,C_11-01,P_WNI-6550,3,SKU-0718-670,4,24
1/1/2019,C_11-01,P_WNI-6550,4,SKU-0959-306,6,90
1/1/2019,C_11-02,P_EMN-5857,1,SKU-0262-271,4,76
1/1/2019,C_11-03,P_GUF-5332,1,SKU-0774-653,4,76
1/1/2019,C_11-03,P_GUF-5332,2,SKU-0806-213,3,36
1/1/2019,C_11-03,P_GUF-5332,3,SKU-0900-386,2,12
1/1/2019,C_11-03,P_GUF-5332,4,SKU-0914-892,3,30
1/1/2019,C_11-03,P_GUF-5332,5,SKU-0223-932,4,40
1/1/2019,C_11-03,P_GUF-5332,6,SKU-0968-398,2,16
1/1/2019,C_11-04,P_STA-8165,1,SKU-0842-930,6,114
1/1/2019,C_11-04,P_STA-8165,2,SKU-0319-613,3,33
1/1/2019,C_11-04,P_STA-8165,3,SKU-0131-966,3,42
1/1/2019,C_11-04,P_STA-8165,4,SKU-0632-113,6,78
1/1/2019,C_11-04,P_STA-8165,5,SKU-0759-765,4,76
1/1/2019,C_11-04,P_STA-8165,6,SKU-0756-169,3,57
1/1/2019,C_11-04,P_STA-8165,7,SKU-0204-559,4,24
1/1/2019,C_11-05,P_KQN-3486,1,SKU-0900-560,2,20
1/1/2019,C_11-05,P_KQN-3486,2,SKU-0945-523,2,18
1/1/2019,C_11-05,P_KQN-3486,3,SKU-0181-898,2,36
1/2/2019,C_21-01,P_SIA-1425,1,SKU-0277-594,6,36
1/2/2019,C_21-01,P_SIA-1425,2,SKU-0784-701,6,120
1/2/2019,C_21-01,P_SIA-1425,3,SKU-0654-860,2,10
1/2/2019,C_21-01,P_SIA-1425,4,SKU-0225-943,3,60
1/2/2019,C_21-01,P_SIA-1425,5,SKU-0180-276,5,30
1/2/2019,C_21-01,P_SIA-1425,6,SKU-0230-509,6,36
1/2/2019,C_21-01,P_SIA-1425,7,SKU-0609-259,6,102
1/2/2019,C_21-01,P_SIA-1425,8,SKU-0448-756,1,10
1/2/2019,C_21-01,P_SIA-1425,9,SKU-0317-934,1,9
1/2/2019,C_21-03,P_JOJ-2263,1,SKU-0642-368,1,7
1/2/2019,C_21-04,P_KCL-9943,1,SKU-0655-869,5,80
1/2/2019,C_21-04,P_KCL-9943,2,SKU-0628-558,1,13
1/2/2019,C_21-04,P_KCL-9943,3,SKU-0149-384,4,32
1/2/2019,C_21-04,P_KCL-9943,4,SKU-0520-453,4,52
1/2/2019,C_21-04,P_KCL-9943,5,SKU-0135-397,4,52
1/2/2019,C_21-05,P_OSB-7397,1,SKU-0405-691,3,45
1/2/2019,C_21-05,P_OSB-7397,2,SKU-0375-695,4,56
1/2/2019,C_21-05,P_OSB-7397,3,SKU-0246-360,3,21
1/2/2019,C_21-05,P_OSB-7397,4,SKU-0919-537,2,36
1/2/2019,C_21-05,P_OSB-7397,5,SKU-0863-743,6,48
1/2/2019,C_21-05,P_OSB-7397,6,SKU-0734-774,1,9
1/3/2019,C_31-01,P_PQD-1289,1,SKU-0938-465,5,35
1/3/2019,C_31-01,P_PQD-1289,2,SKU-0716-351,1,11
1/3/2019,C_31-01,P_PQD-1289,3,SKU-0786-182,2,10
1/3/2019,C_31-01,P_PQD-1289,4,SKU-0915-119,6,66
1/3/2019,C_31-02,P_GJE-9395,1,SKU-0588-571,4,56
1/3/2019,C_31-02,P_GJE-9395,2,SKU-0353-400,6,42
1/3/2019,C_31-03,P_AZC-6286,1,SKU-0789-947,3,45
1/3/2019,C_31-03,P_AZC-6286,2,SKU-0143-338,3,30
1/3/2019,C_31-03,P_AZC-6286,3,SKU-1000-625,5,80
1/3/2019,C_31-03,P_AZC-6286,4,SKU-0443-835,6,96
1/3/2019,C_31-04,P_OZW-2254,1,SKU-0679-213,6,36
1/3/2019,C_31-04,P_OZW-2254,2,SKU-0597-990,2,30
1/3/2019,C_31-04,P_OZW-2254,3,SKU-1000-360,3,45
1/3/2019,C_31-04,P_OZW-2254,4,SKU-0950-952,4,44
1/3/2019,C_31-04,P_OZW-2254,5,SKU-0728-488,3,48
1/3/2019,C_31-05,P_EYZ-5046,1,SKU-0991-114,5,90
1/3/2019,C_31-05,P_EYZ-5046,2,SKU-0264-628,2,32
1/3/2019,C_31-05,P_EYZ-5046,3,SKU-0847-960,2,30
1/3/2019,C_31-05,P_EYZ-5046,4,SKU-0939-982,6,60
1/3/2019,C_31-05,P_EYZ-5046,5,SKU-0138-753,5,85
1/3/2019,C_31-05,P_EYZ-5046,6,SKU-0492-510,6,96
1/4/2019,C_41-01,P_QMA-2929,1,SKU-0927-505,6,102
1/4/2019,C_41-01,P_QMA-2929,2,SKU-0289-648,5,35
1/4/2019,C_41-01,P_QMA-2929,3,SKU-0547-288,1,13
1/4/2019,C_41-02,P_ZAT-8071,1,SKU-0563-979,1,5
1/4/2019,C_41-02,P_ZAT-8071,2,SKU-0338-187,3,27
1/4/2019,C_41-02,P_ZAT-8071,3,SKU-0182-490,1,8
1/4/2019,C_41-02,P_ZAT-8071,4,SKU-0318-762,2,30
1/4/2019,C_41-03,P_ZMN-9887,1,SKU-0807-908,1,8
1/4/2019,C_41-03,P_ZMN-9887,2,SKU-0694-310,1,18
1/4/2019,C_41-03,P_ZMN-9887,3,SKU-0511-933,2,12
1/4/2019,C_41-03,P_ZMN-9887,4,SKU-0652-675,6,54
1/4/2019,C_41-03,P_ZMN-9887,5,SKU-0921-851,5,75
1/4/2019,C_41-04,P_NJP-2617,1,SKU-0251-714,2,30
1/4/2019,C_41-04,P_NJP-2617,2,SKU-0323-584,6,96
1/4/2019,C_41-04,P_NJP-2617,3,SKU-0211-710,3,33
1/4/2019,C_41-04,P_NJP-2617,4,SKU-0631-708,3,57
1/4/2019,C_41-05,P_JLS-7258,1,SKU-0364-434,1,17
1/4/2019,C_41-05,P_JLS-7258,2,SKU-0653-852,5,70
1/4/2019,C_41-05,P_JLS-7258,3,SKU-0568-178,6,48
1/4/2019,C_41-05,P_JLS-7258,4,SKU-0608-333,4,68
1/4/2019,C_41-05,P_JLS-7258,5,SKU-0472-354,2,28
1/5/2019,C_51-01,P_JUK-9963,1,SKU-0762-478,6,120
1/5/2019,C_51-01,P_JUK-9963,2,SKU-0163-723,2,24
1/5/2019,C_51-01,P_JUK-9963,3,SKU-0934-863,2,36
1/5/2019,C_51-01,P_JUK-9963,4,SKU-0570-661,2,40
1/5/2019,C_51-02,P_EVO-5499,1,SKU-0359-237,1,16
1/5/2019,C_51-02,P_EVO-5499,2,SKU-0659-268,2,30
1/5/2019,C_51-02,P_EVO-5499,3,SKU-0260-201,5,85
1/5/2019,C_51-03,P_RWT-2225,1,SKU-0328-122,2,22
1/5/2019,C_51-03,P_RWT-2225,2,SKU-0803-520,3,54
1/5/2019,C_51-03,P_RWT-2225,3,SKU-0955-504,2,40
1/5/2019,C_51-03,P_RWT-2225,4,SKU-0830-518,3,24
1/5/2019,C_51-04,P_GTD-9524,1,SKU-0854-796,2,24
1/5/2019,C_51-04,P_GTD-9524,2,SKU-0930-869,5,65
1/5/2019,C_51-04,P_GTD-9524,3,SKU-0788-210,4,52
1/5/2019,C_51-04,P_GTD-9524,4,SKU-0578-581,6,42
1/5/2019,C_51-04,P_GTD-9524,5,SKU-0743-424,4,36
1/5/2019,C_51-04,P_GTD-9524,6,SKU-0838-404,6,90
1/5/2019,C_51-05,P_BFA-4593,1,SKU-0287-626,6,72
1/5/2019,C_51-05,P_BFA-4593,2,SKU-0389-354,3,60
